Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId
0010R00000wEjE3QAK,,,Burma Degrasse,Customer,,6010 London Dr,Sunset Valley,TX,78745,USA,,,,"{""city"":""Sunset Valley"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78745"",""state"":""TX"",""street"":""6010 London Dr""}",6010 London Dr,Sunset Valley,TX,78745,USA,,,,"{""city"":""Sunset Valley"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78745"",""state"":""TX"",""street"":""6010 London Dr""}",(555) 179-5978,,,,/services/images/photo/0010R00000wEjE3QAK,,,,,,,,,,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,,,,,,Pending,,,,,,,,,
0010R00000wEjE4QAK,,,Divina Mari,Customer,,30208 Lookout Road,Paola,KS,66071,USA,,,,"{""city"":""Paola"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""66071"",""state"":""KS"",""street"":""30208 Lookout Road""}",30208 Lookout Road,Paola,KS,66071,USA,,,,"{""city"":""Paola"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""66071"",""state"":""KS"",""street"":""30208 Lookout Road""}",(555) 468-1760,,,,/services/images/photo/0010R00000wEjE4QAK,,,,,,,,,,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,,,,,,Pending,,,,,,,,,
0010R00000wEjE5QAK,,,Sharita Mrotz,Customer,,111 West Illinois Street,Chicago,IL,60654,USA,,,,"{""city"":""Chicago"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""60654"",""state"":""IL"",""street"":""111 West Illinois Street""}",111 West Illinois Street,Chicago,IL,60654,USA,,,,"{""city"":""Chicago"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""60654"",""state"":""IL"",""street"":""111 West Illinois Street""}",(555) 152-5091,,,,/services/images/photo/0010R00000wEjE5QAK,,,,,,,,,,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,,,,,,Pending,,,,,,,,,
0010R00000wEjE6QAK,,,France Coutinho,Customer,,818 Sparta Hwy,Milledgeville,GA,31061,USA,,,,"{""city"":""Milledgeville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""31061"",""state"":""GA"",""street"":""818 Sparta Hwy""}",818 Sparta Hwy,Milledgeville,GA,31061,USA,,,,"{""city"":""Milledgeville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""31061"",""state"":""GA"",""street"":""818 Sparta Hwy""}",(555) 477-1242,,,,/services/images/photo/0010R00000wEjE6QAK,,,,,,,,,,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,,,,,,Pending,,,,,,,,,
0010R00000wEjIyQAK,,,Walter Fioravanti,Customer,,10 Bay Street,Toronto,ON,M5J 2R8,Canada,,,,"{""city"":""Toronto"",""country"":""Canada"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""M5J 2R8"",""state"":""ON"",""street"":""10 Bay Street""}",10 Bay Street,Toronto,ON,M5J 2R8,Canada,,,,"{""city"":""Toronto"",""country"":""Canada"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""M5J 2R8"",""state"":""ON"",""street"":""10 Bay Street""}",(555) 530-1971,,,,/services/images/photo/0010R00000wEjIyQAK,,,,,,,,,,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,,,,,,Pending,,,,,,,,,
0010R00000wEjIzQAK,,,Hertha Schwantd,Customer,,84 Ocean Drive,Forest Home,AL,36030,USA,,,,"{""city"":""Forest Home"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36030"",""state"":""AL"",""street"":""84 Ocean Drive""}",84 Ocean Drive,Forest Home,AL,36030,USA,,,,"{""city"":""Forest Home"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36030"",""state"":""AL"",""street"":""84 Ocean Drive""}",(555) 207-3882,,,,/services/images/photo/0010R00000wEjIzQAK,,,,,,,,,,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,,,,,,Pending,,,,,,,,,
0010R00000wEjJ0QAK,,,Lacey Steenwyk,Customer,,307 Bentley Manor,Shavano Park,TX,78249,USA,,,,"{""city"":""Shavano Park"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78249"",""state"":""TX"",""street"":""307 Bentley Manor""}",307 Bentley Manor,Shavano Park,TX,78249,USA,,,,"{""city"":""Shavano Park"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78249"",""state"":""TX"",""street"":""307 Bentley Manor""}",(555) 460-1521,,,,/services/images/photo/0010R00000wEjJ0QAK,,,,,,,,,,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,,,,,,Pending,,,,,,,,,
0010R00000wEjJ1QAK,,,Genesis Gunnells,Customer,,5167 Pauline Field,Challis,ID,83226,USA,,,,"{""city"":""Challis"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""83226"",""state"":""ID"",""street"":""5167 Pauline Field""}",5167 Pauline Field,Challis,ID,83226,USA,,,,"{""city"":""Challis"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""83226"",""state"":""ID"",""street"":""5167 Pauline Field""}",(555) 390-8089,,,,/services/images/photo/0010R00000wEjJ1QAK,,,,,,,,,,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,,,,,,Pending,,,,,,,,,
0010R00000wEjJ2QAK,,,Wilfred Mcclosky,Customer,,551 Oakdale Rd,Jamestown,NC,27282,USA,,,,"{""city"":""Jamestown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""27282"",""state"":""NC"",""street"":""551 Oakdale Rd""}",551 Oakdale Rd,Jamestown,NC,27282,USA,,,,"{""city"":""Jamestown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""27282"",""state"":""NC"",""street"":""551 Oakdale Rd""}",(555) 198-1207,,,,/services/images/photo/0010R00000wEjJ2QAK,,,,,,,,,,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,,,,,,Pending,,,,,,,,,
0010R00000wEjJ3QAK,,,Una Ziedan,Customer,,361 Centennial Parkway,Louisville,CO,80027,USA,,,,"{""city"":""Louisville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""80027"",""state"":""CO"",""street"":""361 Centennial Parkway""}",361 Centennial Parkway,Louisville,CO,80027,USA,,,,"{""city"":""Louisville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""80027"",""state"":""CO"",""street"":""361 Centennial Parkway""}",(555) 198-4980,,,,/services/images/photo/0010R00000wEjJ3QAK,,,,,,,,,,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:00.000+0000,,,,,,Pending,,,,,,,,,
