Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,CleanStatus,IndividualId
0030R000010Puy2QAC,,,0010R00000wEjE3QAK,Degrasse,Burma,,Burma Degrasse,6010 London Dr,Sunset Valley,TX,78745,USA,,,,"{""city"":""Sunset Valley"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78745"",""state"":""TX"",""street"":""6010 London Dr""}",6010 London Dr,Sunset Valley,TX,78745,USA,,,,"{""city"":""Sunset Valley"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78745"",""state"":""TX"",""street"":""6010 London Dr""}",(555) 179-5978,,(555) 550-3548,(555) 124-8492,,,,burma.degrasse@example.com,,,,Partner Referral,1997-04-04,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010Puy2QAC,,,Pending,
0030R000010Puy3QAC,,,0010R00000wEjE4QAK,Mari,Divina,,Divina Mari,30208 Lookout Road,Paola,KS,66071,USA,,,,"{""city"":""Paola"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""66071"",""state"":""KS"",""street"":""30208 Lookout Road""}",30208 Lookout Road,Paola,KS,66071,USA,,,,"{""city"":""Paola"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""66071"",""state"":""KS"",""street"":""30208 Lookout Road""}",(555) 468-1760,,(555) 259-6648,(555) 750-2916,,,,divina.mari@example.com,,,,Partner Referral,1990-01-10,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010Puy3QAC,,,Pending,
0030R000010Puy4QAC,,,0010R00000wEjE5QAK,Mrotz,Sharita,,Sharita Mrotz,111 West Illinois Street,Chicago,IL,60654,USA,,,,"{""city"":""Chicago"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""60654"",""state"":""IL"",""street"":""111 West Illinois Street""}",111 West Illinois Street,Chicago,IL,60654,USA,,,,"{""city"":""Chicago"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""60654"",""state"":""IL"",""street"":""111 West Illinois Street""}",(555) 152-5091,,(555) 315-7205,(555) 967-5540,,,,sharita.mrotz@example.com,,,,Other,1946-04-08,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010Puy4QAC,,,Pending,
0030R000010Puy5QAC,,,0010R00000wEjE6QAK,Coutinho,France,,France Coutinho,818 Sparta Hwy,Milledgeville,GA,31061,USA,,,,"{""city"":""Milledgeville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""31061"",""state"":""GA"",""street"":""818 Sparta Hwy""}",818 Sparta Hwy,Milledgeville,GA,31061,USA,,,,"{""city"":""Milledgeville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""31061"",""state"":""GA"",""street"":""818 Sparta Hwy""}",(555) 477-1242,,(555) 921-6070,(555) 556-6072,,,,france.coutinho@example.com,,,,Web,2005-06-08,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010Puy5QAC,,,Pending,
0030R000010Puy6QAC,,,0010R00000wEjIyQAK,Fioravanti,Walter,,Walter Fioravanti,10 Bay Street,Toronto,ON,M5J 2R8,Canada,,,,"{""city"":""Toronto"",""country"":""Canada"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""M5J 2R8"",""state"":""ON"",""street"":""10 Bay Street""}",10 Bay Street,Toronto,ON,M5J 2R8,Canada,,,,"{""city"":""Toronto"",""country"":""Canada"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""M5J 2R8"",""state"":""ON"",""street"":""10 Bay Street""}",(555) 530-1971,,(555) 914-2775,(555) 118-8429,,,,walter.fioravanti@example.com,,,,Other,1964-08-28,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010Puy6QAC,,,Pending,
0030R000010Puy7QAC,,,0010R00000wEjIzQAK,Schwantd,Hertha,,Hertha Schwantd,84 Ocean Drive,Forest Home,AL,36030,USA,,,,"{""city"":""Forest Home"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36030"",""state"":""AL"",""street"":""84 Ocean Drive""}",84 Ocean Drive,Forest Home,AL,36030,USA,,,,"{""city"":""Forest Home"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36030"",""state"":""AL"",""street"":""84 Ocean Drive""}",(555) 207-3882,,(555) 454-3197,(555) 224-1857,,,,hertha.schwantd@example.com,,,,Partner Referral,2001-03-31,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010Puy7QAC,,,Pending,
0030R000010Puy8QAC,,,0010R00000wEjJ0QAK,Steenwyk,Lacey,,Lacey Steenwyk,307 Bentley Manor,Shavano Park,TX,78249,USA,,,,"{""city"":""Shavano Park"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78249"",""state"":""TX"",""street"":""307 Bentley Manor""}",307 Bentley Manor,Shavano Park,TX,78249,USA,,,,"{""city"":""Shavano Park"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78249"",""state"":""TX"",""street"":""307 Bentley Manor""}",(555) 460-1521,,(555) 430-9196,(555) 618-6672,,,,lacey.steenwyk@example.com,,,,Other,1988-03-25,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010Puy8QAC,,,Pending,
0030R000010Puy9QAC,,,0010R00000wEjJ1QAK,Gunnells,Genesis,,Genesis Gunnells,5167 Pauline Field,Challis,ID,83226,USA,,,,"{""city"":""Challis"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""83226"",""state"":""ID"",""street"":""5167 Pauline Field""}",5167 Pauline Field,Challis,ID,83226,USA,,,,"{""city"":""Challis"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""83226"",""state"":""ID"",""street"":""5167 Pauline Field""}",(555) 390-8089,,(555) 729-2562,(555) 470-8306,,,,genesis.gunnells@example.com,,,,Phone Inquiry,1966-12-24,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010Puy9QAC,,,Pending,
0030R000010PuyAQAS,,,0010R00000wEjJ2QAK,Mcclosky,Wilfred,,Wilfred Mcclosky,551 Oakdale Rd,Jamestown,NC,27282,USA,,,,"{""city"":""Jamestown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""27282"",""state"":""NC"",""street"":""551 Oakdale Rd""}",551 Oakdale Rd,Jamestown,NC,27282,USA,,,,"{""city"":""Jamestown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""27282"",""state"":""NC"",""street"":""551 Oakdale Rd""}",(555) 198-1207,,(555) 924-1815,(555) 702-4990,,,,wilfred.mcclosky@example.com,,,,Partner Referral,1948-02-15,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyAQAS,,,Pending,
0030R000010PuyBQAS,,,0010R00000wEjJ3QAK,Ziedan,Una,,Una Ziedan,361 Centennial Parkway,Louisville,CO,80027,USA,,,,"{""city"":""Louisville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""80027"",""state"":""CO"",""street"":""361 Centennial Parkway""}",361 Centennial Parkway,Louisville,CO,80027,USA,,,,"{""city"":""Louisville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""80027"",""state"":""CO"",""street"":""361 Centennial Parkway""}",(555) 198-4980,,(555) 832-7131,(555) 435-5854,,,,una.ziedan@example.com,,,,Web,1977-03-25,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyBQAS,,,Pending,
